"id","installationId","fromDataTime","tillDateTime","PM1","PM10","PM25","PRESSURE","HUMIDITY","TEMPERATURE","indexValue","indexLevel","NO2","CO","CLOUDCOVER","WINDDIRECTION","WINDSPEED","dayOfWeek","coronavirus","typeOfDay"
"4130","313","24-Apr-20 18:00:00","24-Apr-20 19:00:00","24.85","71.28","38.85","1004.98","45.34","14.56","63.3","MEDIUM","","","96","240","2.6","Friday","True","Normal"
"4131","8126","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.91","28.54","16.22","1005.01","47.07","14.1","28.54","LOW","","","95","240","2.6","Friday","True","Normal"
"4132","332","24-Apr-20 18:00:00","24-Apr-20 19:00:00","10.68","26.75","14.6","1004.28","30.83","14.93","26.75","LOW","","","96","240","2.6","Friday","True","Normal"
"4133","10051","24-Apr-20 18:00:00","24-Apr-20 19:00:00","25.39","52.09","40.54","1004.37","42.69","14.48","60.54","MEDIUM","","","96","240","2.6","Friday","True","Normal"
"4134","9899","24-Apr-20 18:00:00","24-Apr-20 19:00:00","8.63","18.39","10.94","1006.63","41.77","16.04","18.39","VERY_LOW","","","97","240","2.6","Friday","True","Normal"
"4135","11336","24-Apr-20 18:00:00","24-Apr-20 19:00:00","21.44","57.92","33.53","1004.62","44.32","16.06","54.95","MEDIUM","","","98","240","2.6","Friday","True","Normal"
"4136","19","24-Apr-20 18:00:00","24-Apr-20 19:00:00","","28.26","9.44","1004","38","15.94","28.26","LOW","26.19","550.17","98","240","2.6","Friday","True","Normal"
"4137","6076","24-Apr-20 18:00:00","24-Apr-20 19:00:00","10.3","23.76","14.09","1004.59","41.14","16.07","23.76","VERY_LOW","","","99","240","2.6","Friday","True","Normal"
"4138","9902","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.92","23.71","13.36","1004.61","34.38","15.72","23.71","VERY_LOW","","","98","240","2.6","Friday","True","Normal"
"4139","9891","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.23","22.23","13.16","1004.98","45.51","16.18","22.23","VERY_LOW","","","99","240","2.6","Friday","True","Normal"
"4140","9903","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.23","21.21","12.21","1005.15","52.7","15.75","21.21","VERY_LOW","","","98","240","2.6","Friday","True","Normal"
"4141","9919","24-Apr-20 18:00:00","24-Apr-20 19:00:00","8.2","19.11","10.9","1005.78","35.54","15.51","19.11","VERY_LOW","","","98","240","2.6","Friday","True","Normal"
"4142","9892","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.12","25.94","14.29","1004.53","48.63","15.98","25.94","LOW","","","99","240","2.6","Friday","True","Normal"
"4143","1070","24-Apr-20 18:00:00","24-Apr-20 19:00:00","12.45","28.78","16.79","1004.26","47.14","16.96","28.78","LOW","","","99","240","2.6","Friday","True","Normal"
"4144","7514","24-Apr-20 18:00:00","24-Apr-20 19:00:00","10.65","30.18","16.91","1005.08","49.35","15.75","30.18","LOW","","","98","240","2.6","Friday","True","Normal"
"4145","9920","24-Apr-20 18:00:00","24-Apr-20 19:00:00","11.8","24.29","14.59","1006.13","34.85","16.37","24.32","VERY_LOW","","","98","240","2.6","Friday","True","Normal"
"4146","9905","24-Apr-20 18:00:00","24-Apr-20 19:00:00","9.58","23.97","12.99","1004.48","32.02","16.14","23.97","VERY_LOW","","","97","240","2.6","Friday","True","Normal"
"4147","7012","24-Apr-20 18:00:00","24-Apr-20 19:00:00","14.71","42.71","23.48","1003.87","48.76","16.15","42.71","LOW","","","98","240","2.6","Friday","True","Normal"
"4148","9996","24-Apr-20 18:00:00","24-Apr-20 19:00:00","","33.32","","1004","38","15.96","33.32","LOW","","","97","240","2.6","Friday","True","Normal"
"4149","11489","24-Apr-20 18:00:00","24-Apr-20 19:00:00","10.59","25.37","14.17","1005.42","45.28","15.84","25.37","LOW","","","97","240","2.6","Friday","True","Normal"
"4150","10039","24-Apr-20 18:00:00","24-Apr-20 19:00:00","10.89","25.66","14.75","1005.75","31.74","15.3","25.66","LOW","","","98","240","2.6","Friday","True","Normal"
"4151","8077","24-Apr-20 18:00:00","24-Apr-20 19:00:00","8.24","20.92","11.47","1005.23","46.82","16.62","20.92","VERY_LOW","","","98","240","2.6","Friday","True","Normal"
"4152","313","24-Apr-20 19:00:00","24-Apr-20 20:00:00","18.25","53.8","27.44","1004.68","49.24","13.73","52.37","MEDIUM","","","100","220","3.1","Friday","True","Normal"
"4153","8126","24-Apr-20 19:00:00","24-Apr-20 20:00:00","10.04","28.65","16.43","1004.66","50.11","13.56","28.65","LOW","","","100","220","3.1","Friday","True","Normal"
"4154","332","24-Apr-20 19:00:00","24-Apr-20 20:00:00","12.97","36.03","18.66","1003.85","34.32","13.95","36.03","LOW","","","100","220","3.1","Friday","True","Normal"
"4155","10051","24-Apr-20 19:00:00","24-Apr-20 20:00:00","27.89","56.06","44.01","1004.12","46.04","13.42","64.01","MEDIUM","","","100","220","3.1","Friday","True","Normal"
"4156","9899","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.88","26.01","15.31","1006.34","46.03","15.05","26.01","LOW","","","100","220","3.1","Friday","True","Normal"
"4157","11336","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.88","31.96","17.84","1004.34","47.88","15.16","31.96","LOW","","","100","220","3.1","Friday","True","Normal"
"4158","19","24-Apr-20 19:00:00","24-Apr-20 20:00:00","","31.88","11.31","1004","41","15.15","31.88","LOW","32.63","584.73","100","220","3.1","Friday","True","Normal"
"4159","6076","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.32","26.79","15.82","1004.36","45.32","15.12","26.79","LOW","","","100","220","3.1","Friday","True","Normal"
"4160","9902","24-Apr-20 19:00:00","24-Apr-20 20:00:00","12.22","29.68","16.33","1004.36","38.04","14.92","29.68","LOW","","","100","220","3.1","Friday","True","Normal"
"4161","9891","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.17","27.27","16.17","1004.74","51.83","14.71","27.27","LOW","","","100","220","3.1","Friday","True","Normal"
"4162","9903","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.31","26.72","15.08","1004.86","56.95","14.73","26.72","LOW","","","100","220","3.1","Friday","True","Normal"
"4163","9919","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.53","27.97","15.71","1005.52","39.4","14.53","27.97","LOW","","","100","220","3.1","Friday","True","Normal"
"4164","9892","24-Apr-20 19:00:00","24-Apr-20 20:00:00","10.47","30.82","16.67","1004.32","55.36","14.62","30.82","LOW","","","100","220","3.1","Friday","True","Normal"
"4165","1070","24-Apr-20 19:00:00","24-Apr-20 20:00:00","15.73","42.75","22.83","1004.12","51.56","15.71","42.75","LOW","","","100","220","3.1","Friday","True","Normal"
"4166","7514","24-Apr-20 19:00:00","24-Apr-20 20:00:00","24.86","79.05","46.27","1004.83","54.07","14.7","68.16","MEDIUM","","","100","220","3.1","Friday","True","Normal"
"4167","9920","24-Apr-20 19:00:00","24-Apr-20 20:00:00","13.16","28.99","17.2","1005.73","40.79","15","28.99","LOW","","","100","220","3.1","Friday","True","Normal"
"4168","9905","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.53","28.41","15.45","1004.22","35.2","15.1","28.41","LOW","","","100","220","3.1","Friday","True","Normal"
"4169","7012","24-Apr-20 19:00:00","24-Apr-20 20:00:00","18.78","56.22","31.07","1003.67","54.4","15.06","53.89","MEDIUM","","","100","220","3.1","Friday","True","Normal"
"4170","9996","24-Apr-20 19:00:00","24-Apr-20 20:00:00","","29.58","","1004","41","15.15","29.58","LOW","","","100","220","3.1","Friday","True","Normal"
"4171","11489","24-Apr-20 19:00:00","24-Apr-20 20:00:00","13.49","36.5","19.19","1005.07","50.02","14.72","36.5","LOW","","","100","220","3.1","Friday","True","Normal"
"4172","10039","24-Apr-20 19:00:00","24-Apr-20 20:00:00","12.86","32.29","18.18","1005.52","34.24","14.35","32.29","LOW","","","100","220","3.1","Friday","True","Normal"
"4173","8077","24-Apr-20 19:00:00","24-Apr-20 20:00:00","11.37","29.66","16.2","1005.05","51.27","15.69","29.66","LOW","","","100","220","3.1","Friday","True","Normal"
"4174","313","24-Apr-20 20:00:00","24-Apr-20 21:00:00","23.36","68.44","36.19","1004.28","52.3","12.51","61.53","MEDIUM","","","100","210","2.6","Friday","True","Normal"
"4175","8126","24-Apr-20 20:00:00","24-Apr-20 21:00:00","10.99","31.94","17.94","1004.19","55.11","12.33","31.94","LOW","","","100","210","2.6","Friday","True","Normal"
"4176","332","24-Apr-20 20:00:00","24-Apr-20 21:00:00","14.79","44.8","21.95","1003.35","37.44","12.91","44.8","LOW","","","100","210","2.6","Friday","True","Normal"
"4177","10051","24-Apr-20 20:00:00","24-Apr-20 21:00:00","27.63","52.12","42.26","1003.7","52.54","11.74","62.26","MEDIUM","","","100","210","2.6","Friday","True","Normal"
"4178","9899","24-Apr-20 20:00:00","24-Apr-20 21:00:00","14.4","35.95","19.91","1005.97","50.72","13.98","35.95","LOW","","","100","210","2.6","Friday","True","Normal"
"4179","11336","24-Apr-20 20:00:00","24-Apr-20 21:00:00","12.76","35.24","19.55","1003.89","53.09","13.83","35.24","LOW","","","100","210","2.6","Friday","True","Normal"
"4180","19","24-Apr-20 20:00:00","24-Apr-20 21:00:00","","36.5","14.27","1004","47","14.15","36.5","LOW","34.82","610.9","100","210","2.6","Friday","True","Normal"
"4181","6076","24-Apr-20 20:00:00","24-Apr-20 21:00:00","13.7","35.81","20.02","1003.87","50.13","13.96","35.81","LOW","","","100","210","2.6","Friday","True","Normal"
"4182","9902","24-Apr-20 20:00:00","24-Apr-20 21:00:00","13.65","35.91","19.24","1003.93","42.07","14.02","35.91","LOW","","","100","210","2.6","Friday","True","Normal"
"4183","9891","24-Apr-20 20:00:00","24-Apr-20 21:00:00","11.88","29.74","17.45","1004.18","56.82","13.57","29.74","LOW","","","100","210","2.6","Friday","True","Normal"
"4184","9903","24-Apr-20 20:00:00","24-Apr-20 21:00:00","13.87","35.8","19.1","1004.39","62.42","13.76","35.8","LOW","","","100","210","2.6","Friday","True","Normal"
"4185","9919","24-Apr-20 20:00:00","24-Apr-20 21:00:00","14.49","37.21","20.55","1005.04","43.95","13.35","37.21","LOW","","","100","210","2.6","Friday","True","Normal"
"4186","9892","24-Apr-20 20:00:00","24-Apr-20 21:00:00","11.01","32.99","17.57","1003.8","60.69","13.58","32.99","LOW","","","100","210","2.6","Friday","True","Normal"
"4187","1070","24-Apr-20 20:00:00","24-Apr-20 21:00:00","17.47","48.86","25.48","1003.75","56.9","14.25","48.86","LOW","","","100","210","2.6","Friday","True","Normal"
"4188","7514","24-Apr-20 20:00:00","24-Apr-20 21:00:00","12.19","38.08","20.12","1004.41","59.67","13.34","38.08","LOW","","","100","210","2.6","Friday","True","Normal"
"4189","9920","24-Apr-20 20:00:00","24-Apr-20 21:00:00","14.91","35.95","20.29","1005.3","45.09","13.86","35.95","LOW","","","100","210","2.6","Friday","True","Normal"
