id,installationId,fromDataTime,tillDateTime,PM1,PM25,PM10,PRESSURE,HUMIDITY,TEMPERATURE,indexValue,indexLevel,NO2,CO
1,19,2020-03-06 15:00:00.000,2020-03-06 16:00:00.000,,9.18,31.15,,,,31.15,LOW,65.31,440.75
2,19,2020-03-06 16:00:00.000,2020-03-06 17:00:00.000,,11.9,35.42,,,,35.42,LOW,68.93,464.01
3,19,2020-03-06 17:00:00.000,2020-03-06 18:00:00.000,,14.68,38.2,,,,38.2,LOW,70.74,528.15
4,19,2020-03-06 18:00:00.000,2020-03-06 19:00:00.000,,13.06,32.74,,,,32.74,LOW,61.21,478.53
5,19,2020-03-06 19:00:00.000,2020-03-06 20:00:00.000,,11.14,24.3,,,,24.3,VERY_LOW,34.67,392.5
6,19,2020-03-06 20:00:00.000,2020-03-06 21:00:00.000,,10.35,23.39,,,,23.39,VERY_LOW,43.18,437.62
7,19,2020-03-06 21:00:00.000,2020-03-06 22:00:00.000,,12.81,25.98,,,,25.98,LOW,47.73,543.76
8,19,2020-03-06 22:00:00.000,2020-03-06 23:00:00.000,,12.22,25.29,,,,25.29,LOW,46.7,465.61
9,19,2020-03-06 23:00:00.000,2020-03-07 00:00:00.000,,13.12,24.07,,,,24.07,VERY_LOW,48.14,494.73
10,19,2020-03-07 00:00:00.000,2020-03-07 01:00:00.000,,17.63,38.23,,,,38.23,LOW,54.24,804.64
11,19,2020-03-07 01:00:00.000,2020-03-07 02:00:00.000,,14.77,25.26,,,,25.26,LOW,44.52,569.88
12,19,2020-03-07 02:00:00.000,2020-03-07 03:00:00.000,,5.35,9.19,,,,9.19,VERY_LOW,14.14,291.89
13,19,2020-03-07 03:00:00.000,2020-03-07 04:00:00.000,,5.28,8.89,,,,8.89,VERY_LOW,17.16,308.56
14,19,2020-03-07 04:00:00.000,2020-03-07 05:00:00.000,,7.54,19.58,,,,19.58,VERY_LOW,40.23,365.22
15,19,2020-03-07 05:00:00.000,2020-03-07 06:00:00.000,,8.39,21.14,,,,21.14,VERY_LOW,48.97,576.35
16,19,2020-03-07 06:00:00.000,2020-03-07 07:00:00.000,,8.78,19.75,,,,19.75,VERY_LOW,43.45,473.01
17,19,2020-03-07 07:00:00.000,2020-03-07 08:00:00.000,,9.36,18.98,,,,18.98,VERY_LOW,31.65,393.81
18,19,2020-03-07 08:00:00.000,2020-03-07 09:00:00.000,,8.35,15.86,,,,15.86,VERY_LOW,18.55,357.44
19,19,2020-03-07 09:00:00.000,2020-03-07 10:00:00.000,,6.24,11.62,,,,11.62,VERY_LOW,13.82,322.74
20,19,2020-03-07 10:00:00.000,2020-03-07 11:00:00.000,,8.51,15.92,,,,15.92,VERY_LOW,18.08,331.8
21,19,2020-03-07 11:00:00.000,2020-03-07 12:00:00.000,,7.43,13.03,,,,13.03,VERY_LOW,14.19,298.97
22,19,2020-03-07 12:00:00.000,2020-03-07 13:00:00.000,,7.46,14.88,,,,14.88,VERY_LOW,18.41,363.7
23,19,2020-03-07 13:00:00.000,2020-03-07 14:00:00.000,,8.75,15.14,,,,15.14,VERY_LOW,21.41,352.47
24,19,2020-03-07 14:00:00.000,2020-03-07 15:00:00.000,,13.49,20.25,,,,22.49,VERY_LOW,22.11,372.82
25,329,2020-03-06 15:00:00.000,2020-03-06 16:00:00.000,9.14,13.05,23.87,998.43,59.73,9.18,23.87,VERY_LOW,,
26,329,2020-03-06 16:00:00.000,2020-03-06 17:00:00.000,24.47,35.28,63.36,998.83,67.53,8.76,58.35,MEDIUM,,
27,329,2020-03-06 17:00:00.000,2020-03-06 18:00:00.000,37.39,54.14,89.15,999.58,70.75,8.08,74.47,MEDIUM,,
28,329,2020-03-06 18:00:00.000,2020-03-06 19:00:00.000,29.27,42.41,75.81,1000.12,74.41,7.22,66.13,MEDIUM,,
29,329,2020-03-06 19:00:00.000,2020-03-06 20:00:00.000,33.47,48.06,81.5,1000.69,76.2,6.67,69.69,MEDIUM,,
30,329,2020-03-06 20:00:00.000,2020-03-06 21:00:00.000,34.82,49.27,82.08,1001.24,78.13,6.23,70.05,MEDIUM,,
31,329,2020-03-06 21:00:00.000,2020-03-06 22:00:00.000,24.27,35.42,64.49,1001.47,80.41,6,59.06,MEDIUM,,
32,329,2020-03-06 22:00:00.000,2020-03-06 23:00:00.000,18.8,27.4,53.24,1001.63,82.64,5.93,52.03,MEDIUM,,
33,329,2020-03-06 23:00:00.000,2020-03-07 00:00:00.000,16.97,23.84,46.37,1002.14,84.43,5.85,46.37,LOW,,
34,329,2020-03-07 00:00:00.000,2020-03-07 01:00:00.000,17.17,24.67,47.02,1002.44,86.35,5.72,47.02,LOW,,
35,329,2020-03-07 01:00:00.000,2020-03-07 02:00:00.000,16.82,24.26,45.96,1002.47,88.15,5.34,45.96,LOW,,
36,329,2020-03-07 02:00:00.000,2020-03-07 03:00:00.000,12.02,16.18,29.49,1003.17,89.2,4.57,29.49,LOW,,
37,329,2020-03-07 03:00:00.000,2020-03-07 04:00:00.000,13.69,18.93,34.16,1003.66,90.25,3.87,34.16,LOW,,
38,329,2020-03-07 04:00:00.000,2020-03-07 05:00:00.000,15.38,21.32,38.79,1004.38,92.47,3.26,38.79,LOW,,
